Customer_ID,Recency,Frequency,Monetary,Cluster
CUST_00001,112,3,2199.63,1
CUST_00002,284,2,809.9000000000001,1
CUST_00003,83,2,3030.81,1
CUST_00004,42,1,383.22,1
CUST_00005,279,3,2422.73,1
CUST_00006,212,3,1245.83,1
CUST_00007,81,1,1331.55,1
CUST_00008,169,3,5602.29,0
CUST_00009,39,1,470.86,1
CUST_00010,22,3,1421.16,0
CUST_00011,12,7,6328.45,0
CUST_00012,53,1,794.4,1
CUST_00013,30,2,667.97,1
CUST_00014,170,3,550.5600000000001,1
CUST_00015,163,4,17407.51,0
CUST_00016,53,10,7775.48,0
CUST_00017,181,1,903.51,1
CUST_00018,8,4,3145.06,0
CUST_00019,27,1,673.1,1
CUST_00020,50,2,2577.16,1
CUST_00021,8,3,5200.38,0
CUST_00022,65,4,933.56,0
CUST_00023,103,1,105.55,1
CUST_00024,344,2,333.99,1
CUST_00025,268,2,1061.66,1
CUST_00026,276,2,790.61,1
CUST_00027,30,4,2577.6099999999997,0
CUST_00028,128,2,865.42,1
CUST_00029,1,8,15296.52,0
CUST_00030,47,7,19332.920000000002,0
CUST_00031,17,3,514.58,0
CUST_00032,221,1,45.36,1
CUST_00033,139,2,415.38,1
CUST_00034,369,2,6302.3,1
CUST_00035,17,2,221.73000000000002,1
CUST_00036,149,3,373.63,1
CUST_00037,88,1,3599.4,1
CUST_00038,43,3,1130.59,0
CUST_00039,110,3,3282.2999999999997,0
CUST_00040,60,3,2875.36,0
CUST_00041,16,4,5685.5599999999995,0
CUST_00042,207,2,3605.71,1
CUST_00043,114,2,1279.8000000000002,1
CUST_00044,60,2,391.98,1
CUST_00045,75,3,7551.92,0
CUST_00046,90,2,1887.29,1
CUST_00047,18,2,2974.21,0
CUST_00048,53,4,4436.29,0
CUST_00049,134,3,702.35,1
CUST_00050,12,1,247.4,1
CUST_00051,27,2,338.21999999999997,1
CUST_00052,11,4,6802.75,0
CUST_00053,23,1,208.84,1
CUST_00054,215,1,529.46,1
CUST_00055,11,3,774.3199999999999,0
CUST_00056,32,5,5841.23,0
CUST_00057,88,4,1515.3899999999999,0
CUST_00058,60,6,4964.26,0
CUST_00059,31,4,3890.71,0
CUST_00060,219,1,1172.8,1
CUST_00061,44,3,1242.8,0
CUST_00062,94,4,5638.85,0
CUST_00063,26,3,2960.14,0
CUST_00064,49,1,732.09,1
CUST_00065,16,2,2971.2200000000003,0
CUST_00066,191,1,3552.78,1
CUST_00067,64,5,1488.3700000000001,0
CUST_00068,48,1,122.67,1
CUST_00069,172,2,2560.76,1
CUST_00070,145,3,1276.27,1
CUST_00071,60,4,2052.29,0
CUST_00072,31,7,5370.1,0
CUST_00073,241,1,224.75,1
CUST_00074,50,7,9628.380000000001,0
CUST_00075,132,3,9552.539999999999,0
CUST_00076,45,5,21055.71,0
CUST_00077,9,4,1282.79,0
CUST_00078,204,3,299.29,1
CUST_00079,221,3,2644.09,1
CUST_00080,139,5,703.8,1
CUST_00081,145,1,1985.21,1
CUST_00082,97,5,3602.9900000000002,0
CUST_00083,167,1,510.39,1
CUST_00084,86,6,2703.68,0
CUST_00085,197,2,933.0300000000001,1
CUST_00086,370,2,2238.3,1
CUST_00087,154,5,1283.77,0
CUST_00088,86,5,1563.12,0
CUST_00089,87,9,14986.29,0
CUST_00090,163,4,3776.86,0
CUST_00091,147,4,582.1700000000001,1
CUST_00092,16,10,8608.02,0
CUST_00093,136,2,6583.81,1
CUST_00094,225,1,426.73,1
CUST_00095,191,3,593.19,1
CUST_00096,8,3,467.69,0
CUST_00097,39,1,481.84,1
CUST_00098,101,2,2463.56,1
CUST_00099,32,4,18407.65,0
CUST_00100,86,1,405.46,1
CUST_00101,133,5,14130.9,0
CUST_00102,94,3,3300.2200000000003,0
CUST_00103,116,5,3956.62,0
CUST_00104,36,6,2906.6,0
CUST_00105,46,2,1380.1000000000001,1
CUST_00106,17,3,9962.97,0
CUST_00107,251,3,3083.11,1
CUST_00108,44,2,9111.15,0
CUST_00109,48,6,2921.8199999999997,0
CUST_00110,243,2,562.8,1
CUST_00111,99,5,5355.2300000000005,0
CUST_00112,9,5,5338.15,0
CUST_00113,66,3,6708.43,0
CUST_00114,96,2,226.3,1
CUST_00115,57,5,5358.67,0
CUST_00116,196,2,396.59,1
CUST_00117,408,2,1997.66,1
CUST_00118,196,2,1258.27,1
CUST_00119,163,2,822.8799999999999,1
CUST_00120,59,2,1048.33,1
CUST_00121,156,2,1275.3999999999999,1
CUST_00122,80,2,5916.799999999999,0
CUST_00123,79,1,119.1,1
CUST_00124,96,3,1334.43,1
CUST_00125,1,6,5482.3099999999995,0
CUST_00126,184,3,5796.18,0
CUST_00127,194,2,6812.73,1
CUST_00128,27,3,1894.3600000000001,0
CUST_00129,133,4,4425.11,0
CUST_00130,183,5,1415.34,0
CUST_00131,32,4,1450.0500000000002,0
CUST_00132,93,1,401.74,1
CUST_00133,66,4,3183.6200000000003,0
CUST_00134,130,2,330.47,1
CUST_00135,85,4,1205.28,0
CUST_00136,21,7,27744.81,0
CUST_00137,103,5,7847.549999999999,0
CUST_00138,303,2,5038.3,1
CUST_00139,13,3,2415.02,0
CUST_00140,76,5,4127.54,0
CUST_00141,31,3,692.77,1
CUST_00142,103,6,4468.86,0
CUST_00143,169,4,6306.07,0
CUST_00144,113,2,5798.76,1
CUST_00145,10,6,4239.0,0
CUST_00146,151,3,4920.679999999999,0
CUST_00147,50,3,2613.37,0
CUST_00148,39,3,4689.19,0
CUST_00149,21,2,4978.3,0
CUST_00150,2,2,2227.61,0
CUST_00151,60,3,12397.1,0
CUST_00152,63,7,3955.98,0
CUST_00153,6,5,4193.99,0
CUST_00154,31,10,41613.83,0
CUST_00155,111,5,10313.310000000001,0
CUST_00156,193,2,1687.83,1
CUST_00157,273,3,2816.84,1
CUST_00158,55,8,8416.01,0
CUST_00159,281,1,2443.68,1
CUST_00160,160,1,11182.48,1
CUST_00161,81,4,793.8000000000001,1
CUST_00162,250,1,237.6,1
CUST_00163,328,2,5341.99,1
CUST_00164,187,2,394.59999999999997,1
CUST_00165,114,2,6117.8099999999995,1
CUST_00166,212,3,1549.54,1
CUST_00167,137,9,11605.460000000001,0
CUST_00168,162,7,8067.05,0
CUST_00169,67,2,214.62,1
CUST_00170,124,2,1897.07,1
CUST_00171,112,2,585.45,1
CUST_00172,36,5,1556.11,0
CUST_00173,43,3,672.02,1
CUST_00174,246,4,20734.25,0
CUST_00175,2,4,6394.780000000001,0
CUST_00176,377,1,1207.95,1
CUST_00177,314,2,1353.74,1
CUST_00178,200,6,18129.14,0
CUST_00179,206,1,94.26,1
CUST_00180,6,4,1081.19,0
CUST_00181,6,7,3503.51,0
CUST_00182,9,4,4957.13,0
CUST_00183,111,7,5201.82,0
CUST_00184,90,2,224.32,1
CUST_00185,136,1,3413.36,1
CUST_00186,121,3,869.0,1
CUST_00187,284,2,2598.7200000000003,1
CUST_00188,130,1,81.09,1
CUST_00189,37,9,14335.39,0
CUST_00190,217,3,13061.51,0
CUST_00191,86,2,3211.2200000000003,1
CUST_00192,257,1,90.92,1
CUST_00193,35,4,2969.69,0
CUST_00194,27,2,985.1400000000001,1
CUST_00195,173,3,4017.48,1
CUST_00196,17,3,10132.67,0
CUST_00197,73,10,47324.23,0
CUST_00198,24,4,4623.04,0
CUST_00199,155,4,6738.69,0
CUST_00200,17,6,5927.53,0
CUST_00201,363,1,103.56,1
CUST_00202,430,1,131.92,1
CUST_00203,97,4,961.24,1
CUST_00204,75,3,2324.31,0
CUST_00205,13,7,4079.13,0
CUST_00206,379,2,3340.6099999999997,1
CUST_00207,15,2,685.31,1
CUST_00208,351,1,2215.8,1
CUST_00209,181,3,990.95,1
CUST_00210,13,6,11821.51,0
CUST_00211,43,4,794.12,0
CUST_00212,56,6,14783.85,0
CUST_00213,371,2,776.3599999999999,1
CUST_00214,161,3,2156.65,1
CUST_00215,27,3,3373.4500000000003,0
CUST_00216,256,5,7822.99,0
CUST_00217,246,1,86.62,1
CUST_00218,62,3,5745.79,0
CUST_00219,205,2,894.11,1
CUST_00220,24,3,2958.81,0
CUST_00221,74,3,1595.11,1
CUST_00222,177,4,1203.7,1
CUST_00223,374,2,3880.27,1
CUST_00224,90,3,3107.41,0
CUST_00225,19,3,7058.01,0
CUST_00226,83,1,168.0,1
CUST_00227,204,1,30.5,1
CUST_00228,130,3,534.81,1
CUST_00229,20,5,5361.07,0
CUST_00230,2,2,232.82,0
CUST_00231,3,4,5517.289999999999,0
CUST_00232,69,1,426.24,1
CUST_00233,271,1,434.34,1
CUST_00234,37,4,5509.29,0
CUST_00235,331,1,287.72,1
CUST_00236,7,2,6898.39,0
CUST_00237,52,3,356.31,1
CUST_00238,93,8,12917.61,0
CUST_00239,65,3,1649.18,1
CUST_00240,184,2,2792.2200000000003,1
CUST_00241,129,10,15101.949999999999,0
CUST_00242,57,8,22668.920000000002,0
CUST_00243,63,2,890.73,1
CUST_00244,66,3,1374.4,1
CUST_00245,103,6,14832.900000000001,0
CUST_00246,141,2,1239.0900000000001,1
CUST_00247,75,7,5413.9400000000005,0
CUST_00248,31,3,2203.43,0
CUST_00249,198,4,5215.41,0
CUST_00250,176,1,12718.2,1
CUST_00251,105,2,2474.96,1
CUST_00252,32,9,18766.25,0
CUST_00253,168,3,6104.4400000000005,0
CUST_00254,107,4,613.1800000000001,1
CUST_00255,171,2,220.81,1
CUST_00256,83,6,13381.57,0
CUST_00257,87,2,973.8900000000001,1
CUST_00258,140,6,3768.67,0
CUST_00259,233,2,4355.91,1
CUST_00260,255,2,427.65999999999997,1
CUST_00261,26,6,4224.62,0
CUST_00262,287,1,50.9,1
CUST_00263,230,3,6274.570000000001,0
CUST_00264,39,3,924.3399999999999,1
CUST_00265,12,7,4866.16,0
CUST_00266,12,3,12708.69,0
CUST_00267,287,1,5004.9,1
CUST_00268,98,3,947.34,1
CUST_00269,209,1,2800.5,1
CUST_00270,146,1,186.07,1
CUST_00271,163,2,219.17,1
CUST_00272,326,3,5937.62,1
CUST_00273,424,1,6248.78,1
CUST_00274,91,2,186.5,1
CUST_00275,71,1,1990.27,1
CUST_00276,66,3,1081.69,1
CUST_00277,239,2,374.69,1
CUST_00278,256,1,355.71,1
CUST_00279,15,9,8998.039999999999,0
CUST_00280,331,1,363.61,1
CUST_00281,50,4,11020.91,0
CUST_00282,108,1,858.7,1
CUST_00283,49,1,105.6,1
CUST_00284,305,2,3209.09,1
CUST_00285,114,1,229.55,1
CUST_00286,31,7,6885.5,0
CUST_00287,51,3,4548.25,0
CUST_00288,125,5,6706.0,0
CUST_00289,3,8,11224.32,0
CUST_00290,172,2,4059.1499999999996,1
CUST_00291,128,3,1503.5,1
CUST_00292,50,6,3072.8,0
CUST_00293,87,3,5139.64,0
CUST_00294,139,3,4237.54,0
CUST_00295,185,3,744.88,1
CUST_00296,13,2,3827.6400000000003,0
CUST_00297,74,2,5984.12,0
CUST_00298,82,1,2986.14,1
CUST_00299,11,3,2362.61,0
CUST_00300,288,2,1295.79,1
CUST_00301,83,3,886.8,1
